url,beds,city,date,size,type,baths,price,neighborhood,property_group,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,price_per_sqft,neighborhood_bucket
https://www.99acres.com/residential-land-plot-for-sale-in-vaishnavi-urban-county-jigani-bangalore-south-89-sq-yard-to-140-sq-yard-npspid-X80116283,0,Bangalore,2025-02-19,799-1258 sqft,Residential land / Plot,0,2317000.0,Jigani,Land/Plot,799.0,1258.0,1028.5,2025-02-19 00:00:00.000,0.0,2252.795333009237,Other
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-prestige-jindal-city-tumkur-road-bangalore-west-1085-sq-ft-spid-F79144279,2,Bangalore,2025-02-19,1085 sqft,2 BHK Flat,2,12500000.0,Tumkur Road,Apartment/Flat,1085.0,1085.0,1085.0,2025-02-19 00:00:00.000,0.0,11520.737327188941,Other
https://www.99acres.com/sumadhura-capitol-residences-whitefield-bangalore-east-npxid-r433778,3,Bangalore,2025-02-19,1525-2150 sqft,"3, 4 BHK Apartment",0,23200000.0,Whitefield,Apartment/Flat,1525.0,2150.0,1837.5,2025-02-19 00:00:00.000,0.0,12625.850340136054,Other
https://www.99acres.com/provident-botanico-soukya-road-bangalore-east-npxid-r424433,2,Bangalore,2025-02-19,658-1003 sqft,"2, 3 BHK Apartment",0,889000.0,Soukya Road,Apartment/Flat,658.0,1003.0,830.5,2025-02-19 00:00:00.000,0.0,1070.4394942805538,Other
https://www.99acres.com/kvg-superior-kalkere-bangalore-south-npxid-r438820,2,Bangalore,2025-02-19,1179-1449 sqft,"2, 3 BHK Apartment",0,6483000.0,Kalkere,Apartment/Flat,1179.0,1449.0,1314.0,2025-02-19 00:00:00.000,0.0,4933.7899543379,Other
https://www.99acres.com/nambiar-district-25-sarjapur-road-bangalore-east-npxid-r432506,2,Bangalore,2025-02-19,1199-2484 sqft,"2, 3, 4 BHK Apartment",0,15000000.0,Sarjapur Road,Apartment/Flat,1199.0,2484.0,1841.5,2025-02-19 00:00:00.000,0.0,8145.533532446375,Other
https://www.99acres.com/mahaveer-celesse-yelahanka-bangalore-north-npxid-r263821,2,Bangalore,2025-02-19,794-1923 sqft,"2, 3 BHK Apartment",0,7518000.0,Yelahanka,Apartment/Flat,794.0,1923.0,1358.5,2025-02-19 00:00:00.000,0.0,5534.044902465955,Other
https://www.99acres.com/keya-life-by-the-lake-hebbal-bangalore-north-npxid-r178479,4,Bangalore,2025-02-19,0 sqft,"4, 5 BHK Villa",0,39800000.0,Hebbal,Villa,0.0,0.0,0.0,2025-02-19 00:00:00.000,0.0,,Other
https://www.99acres.com/amrutha-platinum-towers-whitefield-bangalore-east-npxid-r305417,2,Bangalore,2025-02-19,1006-1636 sqft,"2, 3 BHK Apartment",0,11100000.0,Whitefield,Apartment/Flat,1006.0,1636.0,1321.0,2025-02-19 00:00:00.000,0.0,8402.725208175625,Other
https://www.99acres.com/keya-spring-bannerghatta-road-bangalore-south-npxid-r401648,2,Bangalore,2025-02-19,1335-2700 sqft,"2, 3, 4 BHK Apartment",0,15700000.0,Bannerghatta Road,Apartment/Flat,1335.0,2700.0,2017.5,2025-02-19 00:00:00.000,0.0,7781.908302354399,Other
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-trump-tower-sector-65-gurgaon-6050-sq-ft-r2-spid-I63419088,4,Gurgaon,2025-02-19,6050 sqft,4 BHK Flat,4,200000000.0,Sector 65,Apartment/Flat,6050.0,6050.0,6050.0,2025-02-19 00:00:00.000,0.0,33057.85123966942,Other
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-4200-sq-ft-spid-Y78047881,4,Gurgaon,2025-02-19,4200 sqft,4 BHK Flat,4,40100000.0,Sector 103,Apartment/Flat,4200.0,4200.0,4200.0,2025-02-19 00:00:00.000,0.0,9547.619047619048,Other
https://www.99acres.com/residential-land-plot-for-sale-in-rosewood-city-gurgaon-1000-sq-yard-spid-W80263135,0,Gurgaon,2025-02-19T04:38:38.179Z,9000 sqft,Residential land / Plot,0,249500000.0,Rosewood City,Land/Plot,9000.0,9000.0,9000.0,2025-02-19 04:38:38.179,-1.0,27722.222222222223,Other
https://www.99acres.com/godrej-aristocrat-sector-49-gurgaon-npxid-r419936,3,Gurgaon,2025-02-19T04:38:38.179Z,"967.58 - 1,751.41 sqft",3 BHK Apartment,0,52800000.0,Sector 49,Apartment/Flat,967.58,1751.41,1359.4950000000001,2025-02-19 04:38:38.179,-1.0,38837.95085675195,Sector 49
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1940-sq-ft-spid-U79308375,4,Gurgaon,2025-02-19T04:38:38.179Z,1942 sqft,4 BHK Apartment,5,69000000.0,Sector 49,Apartment/Flat,1942.0,1942.0,1942.0,2025-02-19 04:38:38.179,-1.0,35530.38105046344,Sector 49
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-uppals-southend-gurgaon-2562-sq-ft-spid-F79012087,4,Gurgaon,2025-02-19T04:38:38.179Z,2562 sqft,4 BHK Flat,4,41600000.0,Uppals Southend,Apartment/Flat,2562.0,2562.0,2562.0,2025-02-19 04:38:38.179,-1.0,16237.314597970335,Other
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-sector-49-gurgaon-1805-sq-ft-spid-D79543409,3,Gurgaon,2025-02-19T04:38:38.179Z,1805 sqft,3 BHK Flat,3,30500000.0,Sector 49,Apartment/Flat,1805.0,1805.0,1805.0,2025-02-19 04:38:38.179,-1.0,16897.506925207756,Sector 49
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-2-gurgaon-4500-sq-ft-spid-Q79885617,4,Gurgaon,2025-02-19T04:38:38.179Z,4500 sqft,4 BHK Independent Builder Floor,5,45000000.0,South City 2,Independent Floor,4500.0,4500.0,4500.0,2025-02-19 04:38:38.179,-1.0,10000.0,Other
